artist,track,week,rank
Artist_360,Song_189,week_14,90
Artist_388,Song_255,week_23,50
Artist_2,Song_68,week_11,11
Artist_390,Song_616,week_31, 13 
Artist_54,Song_336,week_06,97
Artist_106,Song_671,week_11,50
Artist_260,Song_821,week_13,38
Artist_310,Song_874,week_12,1
Artist_477,Song_1433,week_02,39
Artist_191,Song_300,week_35,27
Artist_402,Song_1932,week_36,36
Artist_218,Song_1626,week_17,32
Artist_44,Song_357,week_28,41
Artist_162,Song_256,week_28,15
Artist_202,Song_1008,week_22,31
Artist_446,Song_353,week_38,6
Artist_484,Song_1756,week_07,89
Artist_270,Song_1545,week_15,52
Artist_351,Song_524,week_32,82
Artist_304,Song_1861,week_11,22
Artist_271,Song_950,week_24,31
Artist_456,Song_756,week_03,100
Artist_462,Song_1718,week_30,73
Artist_215,Song_284,week_06,46
Artist_252,Song_1336,week_02,67
Artist_190,Song_99,week_14,97
Artist_296,Song_197,week_41,91
Artist_213,Song_482,week_18,43
Artist_208,Song_878,week_51,1
Artist_237,Song_1250,week_44,44
Artist_338,Song_1869,week_31,57
Artist_367,Song_615,week_13,9
Artist_53,Song_618,week_26,5
Artist_280,Song_1389,week_44,79
Artist_410,Song_368,week_12,9
Artist_217,Song_570,week_18,45
Artist_252,Song_590,week_09,92
Artist_188,Song_1099,week_49,77
Artist_380,Song_1066,week_21,24
Artist_493,Song_422,week_48, 74 
Artist_41,Song_836,week_49,42
Artist_157,Song_1205,week_40,22
Artist_15,Song_545,week_43,60
Artist_301,Song_71,week_24,
Artist_65,Song_1592,week_34,37
Artist_345,Song_1129,week_08,39
Artist_327,Song_1224,week_44,84
Artist_9,Song_1125,week_33,74
Artist_344,Song_768,week_23, 74 
Artist_129,Song_307,week_13,90
Artist_492,Song_1610,week_49,89
Artist_136,Song_1707,week_14,53
Artist_472,Song_377,week_14,28
Artist_63,Song_655,week_16,77
Artist_139,Song_678,week_49,15
Artist_499,Song_399,week_38,60
Artist_81,Song_1797,week_39,60
Artist_392,Song_221,week_26,6
Artist_163,Song_1619,week_26,52
Artist_419,Song_182,week_01,12
Artist_289,Song_307,week_32,19
Artist_379,Song_522,week_15,96
Artist_261,Song_1420,week_52,75
Artist_490,Song_1014,week_21,97
Artist_231,Song_4,week_18,2
Artist_41,Song_863,week_30,55
Artist_28,Song_1938,week_13,15
Artist_135,Song_848,week_24,64
Artist_201,Song_804,week_30,100
Artist_328,Song_1305,week_02, 69 
Artist_268,Song_215,week_19,15
Artist_418,Song_972,week_47,43
Artist_33,Song_1634,week_44,74
Artist_48,Song_1444,week_47,17
Artist_407,Song_101,week_25,98
Artist_62,Song_963,week_50,24
Artist_216,Song_1545,week_14,74
Artist_293,Song_573,week_06,30
Artist_99,Song_1333,week_12,67
Artist_172,Song_658,week_20,51
Artist_360,Song_939,week_23,60
Artist_214,Song_1955,week_30,3
Artist_475,Song_1534,week_30,5
Artist_35,Song_1087,week_38,28
Artist_449,Song_1657,week_30,78
Artist_227,Song_226,week_41,11
Artist_101,Song_105,week_30,
Artist_431,Song_1998,week_36,72
Artist_462,Song_772,week_49,76
Artist_131,Song_1885,week_34,15
Artist_257,Song_1449,week_16,83
Artist_5,Song_1279,week_24,48
Artist_218,Song_429,week_14,46
Artist_255,Song_434,week_26,28
Artist_398,Song_1231,week_08,7
Artist_359,Song_1052,week_14,71
Artist_283,Song_682,week_31,94
Artist_393,Song_1360,week_02,82
Artist_207,Song_588,week_48,88
Artist_15,Song_1652,week_04,6
Artist_346,Song_1093,week_01,58
Artist_42,Song_866,week_20,68
Artist_380,Song_746,week_14,55
Artist_461,Song_1537,week_40,67
Artist_179,Song_1191,week_25,49
Artist_63,Song_864,week_25,51
Artist_352,Song_1754,week_03,59
Artist_231,Song_1809,week_05,6
Artist_241,Song_368,week_38,90
Artist_52,Song_251,week_26,51
Artist_96,Song_859,week_40,38
Artist_388,Song_856,week_38,11
Artist_222,Song_1955,week_38,52
Artist_485,Song_1710,week_04,93
Artist_407,Song_1194,week_07,20
Artist_231,Song_1782,week_30,10
Artist_237,Song_1959,week_30,26
Artist_143,Song_1114,week_19,48
Artist_171,Song_561,week_39,91
Artist_29,Song_1470,week_35,14
Artist_36,Song_294,week_40,
Artist_13,Song_919,week_33,59
Artist_160,Song_1174,week_33,12
Artist_327,Song_1156,week_14,
Artist_187,Song_433,week_38,85
Artist_243,Song_59,week_10,72
Artist_86,Song_969,week_28,39
Artist_284,Song_836,week_14,9
Artist_66,Song_199,week_36,88
Artist_170,Song_215,week_38,95
Artist_45,Song_898,week_16,25
Artist_62,Song_1585,week_21,17
Artist_441,Song_472,week_28,42
Artist_134,Song_1768,week_33,29
Artist_284,Song_247,week_06,60
Artist_28,Song_382,week_41,67
Artist_108,Song_991,week_15,85
Artist_44,Song_1263,week_44,57
Artist_340,Song_927,week_03,72
Artist_286,Song_1391,week_43,14
Artist_446,Song_1192,week_47,39
Artist_331,Song_560,week_35,16
Artist_128,Song_1075,week_14,18
Artist_348,Song_1835,week_02,95
Artist_473,Song_1634,week_29,75
Artist_231,Song_1975,week_04,20
Artist_190,Song_1752,week_26,46
Artist_225,Song_689,week_51,45
Artist_385,Song_380,week_12,4
Artist_377,Song_474,week_02,84
Artist_283,Song_1104,week_17,95
Artist_446,Song_697,week_35,20
Artist_121,Song_1391,week_10,11
Artist_116,Song_1485,week_48,65
Artist_461,Song_911,week_22,18
Artist_233,Song_1563,week_41, 39 
Artist_259,Song_1476,week_43,44
Artist_359,Song_1488,week_21,97
Artist_198,Song_960,week_15,100
Artist_456,Song_478,week_35,
Artist_411,Song_1004,week_48,47
Artist_137,Song_926,week_21,31
Artist_318,Song_1444,week_21,99
Artist_165,Song_707,week_21,39
Artist_225,Song_1238,week_44,38
Artist_307,Song_1393,week_32,79
Artist_234,Song_854,week_05,47
Artist_172,Song_1138,week_39,70
Artist_152,Song_1017,week_09,8
Artist_463,Song_754,week_18,86
Artist_315,Song_503,week_21,65
Artist_374,Song_1660,week_08,13
Artist_160,Song_817,week_44,55
Artist_96,Song_588,week_52,88
Artist_472,Song_1335,week_34,85
Artist_233,Song_1493,week_10,43
Artist_180,Song_1848,week_51,4
Artist_113,Song_708,week_41,71
Artist_318,Song_1887,week_24,60
Artist_497,Song_1068,week_40,12
Artist_442,Song_1439,week_24,59
Artist_52,Song_1722,week_32,77
Artist_268,Song_1879,week_33,54
Artist_295,Song_1270,week_38,44
Artist_386,Song_1973,week_44,16
Artist_387,Song_1108,week_51,6
Artist_113,Song_207,week_49,14
Artist_101,Song_151,week_34,58
Artist_113,Song_668,week_11,31
Artist_440,Song_528,week_31,100
Artist_81,Song_165,week_18,41
Artist_187,Song_917,week_23,35
Artist_113,Song_1999,week_22,10
Artist_2,Song_1169,week_43,81
Artist_130,Song_1010,week_18,30
Artist_220,Song_37,week_40,44
Artist_54,Song_333,week_47,55
Artist_343,Song_403,week_41, 71 
Artist_485,Song_414,week_47,18
Artist_224,Song_45,week_39,83
Artist_225,Song_1426,week_20,79
Artist_385,Song_206,week_13,86
Artist_403,Song_62,week_45,39
Artist_126,Song_420,week_01,42
Artist_130,Song_868,week_52,54
Artist_53,Song_1492,week_04,30
Artist_172,Song_820,week_24,20
Artist_218,Song_19,week_36,96
Artist_160,Song_365,week_36,42
Artist_198,Song_1324,week_45,89
Artist_416,Song_1031,week_02,87
Artist_247,Song_1785,week_28,5
Artist_324,Song_428,week_26,50
Artist_439,Song_1141,week_23,41
Artist_203,Song_580,week_15,94
Artist_184,Song_1531,week_36,39
Artist_123,Song_546,week_27,57
Artist_401,Song_1730,week_06,91
Artist_255,Song_325,week_35,57
Artist_294,Song_55,week_39,37
Artist_280,Song_778,week_38,7
Artist_325,Song_992,week_35,5
Artist_372,Song_42,week_36,79
Artist_98,Song_1321,week_10,51
Artist_198,Song_1997,week_30,8
Artist_470,Song_231,week_41,56
Artist_395,Song_453,week_38,73
Artist_240,Song_1914,week_29,11
Artist_144,Song_394,week_52,22
Artist_97,Song_1546,week_43,98
Artist_201,Song_1382,week_39,99
Artist_124,Song_1468,week_50,77
Artist_187,Song_1152,week_04,11
Artist_326,Song_691,week_05,60
Artist_464,Song_1429,week_04,96
Artist_349,Song_392,week_36,15
Artist_259,Song_1217,week_45,38
Artist_148,Song_604,week_16,1
Artist_252,Song_881,week_25,46
Artist_443,Song_1767,week_14,88
Artist_420,Song_1102,week_11,43
Artist_403,Song_85,week_29,22
Artist_346,Song_1054,week_34,3
Artist_451,Song_1749,week_22,14
Artist_147,Song_49,week_14,2
Artist_148,Song_1801,week_24,61
Artist_352,Song_1169,week_39,32
Artist_199,Song_69,week_26,
Artist_308,Song_1082,week_43,97
Artist_489,Song_697,week_36,46
Artist_417,Song_1598,week_39,42
Artist_424,Song_479,week_16,6
Artist_128,Song_820,week_38,41
Artist_39,Song_1469,week_32,25
Artist_338,Song_1320,week_06,98
Artist_360,Song_1702,week_34,11
Artist_129,Song_1195,week_08,41
Artist_267,Song_1599,week_30,71
Artist_476,Song_147,week_27,57
Artist_441,Song_1508,week_07,46
Artist_473,Song_1330,week_27,86
Artist_434,Song_1697,week_25,48
Artist_151,Song_1677,week_46,63
Artist_415,Song_1870,week_41,39
Artist_478,Song_1016,week_15,10
Artist_298,Song_609,week_25,85
Artist_99,Song_446,week_22,70
Artist_263,Song_221,week_18,65
Artist_252,Song_1579,week_12,98
Artist_144,Song_1969,week_23,59
Artist_346,Song_1828,week_51,78
Artist_112,Song_1402,week_45,36
Artist_500,Song_1644,week_39,27
Artist_60,Song_1290,week_25,73
Artist_369,Song_95,week_10,55
Artist_2,Song_262,week_30,70
Artist_385,Song_1849,week_10,95
Artist_304,Song_897,week_34,81
Artist_254,Song_1095,week_46,53
Artist_140,Song_1978,week_13,60
Artist_453,Song_219,week_29,61
Artist_37,Song_1557,week_38, 36 
Artist_160,Song_92,week_41,85
Artist_9,Song_127,week_45,27
Artist_233,Song_80,week_09,41
Artist_99,Song_1848,week_13,28
Artist_147,Song_1262,week_37,
Artist_304,Song_983,week_14,35
Artist_208,Song_1396,week_37,36
Artist_131,Song_916,week_09,56
Artist_404,Song_486,week_08,99
Artist_152,Song_694,week_39,19
Artist_54,Song_25,week_40,57
Artist_120,Song_156,week_03,85
Artist_161,Song_1541,week_47,33
Artist_408,Song_632,week_40,23
Artist_116,Song_1813,week_33,63
Artist_75,Song_1554,week_32,70
Artist_113,Song_1967,week_07,96
Artist_456,Song_1734,week_19,22
Artist_420,Song_1081,week_34,67
Artist_422,Song_1629,week_14,99
Artist_104,Song_19,week_50,80
Artist_340,Song_1408,week_47,59
Artist_254,Song_1889,week_46,25
Artist_227,Song_1217,week_19,17
Artist_112,Song_237,week_51,39
Artist_473,Song_1411,week_26,77
Artist_99,Song_1450,week_17,92
Artist_153,Song_277,week_28,75
Artist_349,Song_1251,week_19,74
Artist_402,Song_745,week_27,39
Artist_384,Song_552,week_48,24
Artist_366,Song_1347,week_52,38
Artist_338,Song_1177,week_19,88
Artist_194,Song_639,week_33,97
Artist_310,Song_237,week_51,81
Artist_163,Song_998,week_07,57
Artist_208,Song_55,week_29,44
Artist_445,Song_1460,week_43,36
Artist_169,Song_684,week_05,99
Artist_484,Song_109,week_30,70
Artist_161,Song_1890,week_49,
Artist_68,Song_1208,week_43,45
Artist_289,Song_1975,week_08,92
Artist_398,Song_1392,week_42,96
Artist_277,Song_1222,week_12,26
Artist_304,Song_1395,week_42,11
Artist_404,Song_373,week_13,52
Artist_384,Song_973,week_26,25
Artist_392,Song_1521,week_18,31
Artist_135,Song_1623,week_42,85
Artist_195,Song_201,week_51,45
Artist_401,Song_849,week_52,67
Artist_128,Song_509,week_49,76
Artist_33,Song_1346,week_20,40
Artist_176,Song_275,week_16,46
Artist_460,Song_211,week_37,54
Artist_443,Song_504,week_03,41
Artist_371,Song_1927,week_27,89
Artist_470,Song_1142,week_15,81
Artist_375,Song_703,week_34,38
Artist_22,Song_1578,week_45,100
Artist_238,Song_42,week_22,36
Artist_158,Song_315,week_40,83
Artist_38,Song_788,week_23,44
Artist_230,Song_329,week_49,57
Artist_365,Song_1041,week_04,66
Artist_51,Song_283,week_51,81
Artist_438,Song_943,week_41,30
Artist_264,Song_258,week_23,10
Artist_283,Song_575,week_47,99
Artist_27,Song_574,week_09,61
Artist_226,Song_612,week_24,63
Artist_277,Song_1043,week_21,36
Artist_286,Song_1553,week_41,54
Artist_97,Song_837,week_46,97
Artist_284,Song_423,week_16,65
Artist_367,Song_1490,week_25,82
Artist_448,Song_1397,week_26,4
Artist_481,Song_758,week_49,55
Artist_453,Song_763,week_45,54
Artist_317,Song_1991,week_09,91
Artist_304,Song_1105,week_15,89
Artist_147,Song_1575,week_39,64
Artist_4,Song_1572,week_33,92
Artist_35,Song_424,week_01,22
Artist_192,Song_429,week_05,25
Artist_49,Song_1412,week_09,81
Artist_17,Song_1945,week_44,59
Artist_172,Song_1733,week_06,57
Artist_220,Song_1694,week_28,
Artist_158,Song_204,week_45,44
Artist_477,Song_196,week_26,52
Artist_46,Song_728,week_28,76
Artist_373,Song_285,week_40,16
Artist_6,Song_1993,week_15,16
Artist_99,Song_196,week_06,81
Artist_380,Song_307,week_27,55
Artist_233,Song_1688,week_38,61
Artist_37,Song_14,week_04,95
Artist_280,Song_1861,week_11,79
Artist_349,Song_1170,week_21,77
Artist_497,Song_1962,week_30,40
Artist_302,Song_1081,week_18,91
Artist_181,Song_723,week_35,
Artist_95,Song_780,week_03,66
Artist_99,Song_1234,week_12,8
Artist_188,Song_529,week_27,71
Artist_481,Song_798,week_30,10
Artist_116,Song_344,week_21,57
Artist_191,Song_1739,week_38,4
Artist_253,Song_1635,week_21,43
Artist_469,Song_1303,week_38,100
Artist_416,Song_209,week_40, 99 
Artist_471,Song_641,week_15,63
Artist_161,Song_1359,week_18,43
Artist_256,Song_1312,week_52,67
Artist_323,Song_252,week_29,82
Artist_128,Song_1289,week_48,51
Artist_18,Song_271,week_38,56
Artist_281,Song_1948,week_21,43
Artist_490,Song_920,week_17,24
Artist_223,Song_1724,week_41,96
Artist_54,Song_419,week_51,34
Artist_58,Song_1750,week_18,59
Artist_323,Song_795,week_37,2
Artist_360,Song_1235,week_38,2
Artist_174,Song_1389,week_12,10
Artist_280,Song_1100,week_11,23
Artist_114,Song_1684,week_48,15
Artist_288,Song_1345,week_52,76
Artist_431,Song_725,week_49,17
Artist_342,Song_433,week_20, 82 
Artist_151,Song_109,week_09,14
Artist_450,Song_641,week_01,81
Artist_127,Song_1546,week_03,79
Artist_155,Song_1071,week_21,76
Artist_490,Song_379,week_23,16
Artist_386,Song_1851,week_09,32
Artist_474,Song_1120,week_19,23
Artist_273,Song_958,week_45,34
Artist_104,Song_103,week_46,98
Artist_417,Song_892,week_52,16
Artist_393,Song_854,week_19,34
Artist_299,Song_1170,week_23,71
Artist_246,Song_1904,week_27,33
Artist_176,Song_1966,week_27,68
Artist_39,Song_1952,week_39,43
Artist_477,Song_1051,week_36,64
Artist_170,Song_1756,week_12,71
Artist_247,Song_530,week_27,18
Artist_26,Song_679,week_46,68
Artist_355,Song_1969,week_34,61
Artist_306,Song_989,week_33,75
Artist_409,Song_1106,week_28,20
Artist_408,Song_428,week_31,11
Artist_13,Song_1608,week_32,79
Artist_316,Song_822,week_50,46
Artist_391,Song_1503,week_20,64
Artist_313,Song_1790,week_40,81
Artist_36,Song_1186,week_35,98
Artist_173,Song_1863,week_31,76
Artist_20,Song_932,week_31,28
Artist_321,Song_1426,week_38,48
Artist_264,Song_1532,week_22,35
Artist_494,Song_1062,week_45,8
Artist_400,Song_1979,week_41,91
Artist_142,Song_511,week_09,22
Artist_460,Song_393,week_52,24
Artist_371,Song_713,week_09,66
Artist_471,Song_494,week_15,95
Artist_143,Song_1224,week_13,86
Artist_92,Song_1279,week_22,64
Artist_354,Song_1203,week_16,65
Artist_322,Song_547,week_32, 14 
Artist_288,Song_594,week_02,25
Artist_215,Song_389,week_26,100
Artist_447,Song_1422,week_14,100
Artist_342,Song_1756,week_38,3
Artist_51,Song_158,week_34,5
Artist_153,Song_1028,week_08,65
Artist_186,Song_167,week_36,54
Artist_63,Song_1492,week_21,19
Artist_190,Song_960,week_46,97
Artist_125,Song_409,week_43,54
Artist_150,Song_1436,week_28,94
Artist_314,Song_1228,week_46,76
Artist_58,Song_194,week_44,10
Artist_342,Song_235,week_48,98
Artist_305,Song_718,week_06,16
Artist_180,Song_1174,week_20,46
Artist_170,Song_1183,week_31,29
Artist_326,Song_1303,week_33,15
Artist_271,Song_816,week_44,48
Artist_54,Song_404,week_07,11
Artist_491,Song_893,week_08,34
Artist_444,Song_678,week_09,36
Artist_101,Song_1335,week_02,
Artist_481,Song_68,week_17,99
Artist_264,Song_1487,week_52,73
Artist_53,Song_88,week_45,82
Artist_60,Song_217,week_37,19
Artist_492,Song_1,week_42,68
Artist_108,Song_1159,week_44,70
Artist_5,Song_1721,week_17,33
Artist_103,Song_1375,week_38,96
Artist_196,Song_140,week_35,80
Artist_262,Song_618,week_47,75
Artist_365,Song_133,week_39,22
Artist_480,Song_1644,week_30,36
Artist_372,Song_178,week_06,23
Artist_350,Song_810,week_04,63
Artist_47,Song_1382,week_51,26
Artist_355,Song_380,week_37,60
Artist_311,Song_908,week_35,95
Artist_424,Song_1895,week_09,93
Artist_308,Song_658,week_06,5
Artist_144,Song_450,week_13,54
Artist_269,Song_586,week_22,38
Artist_370,Song_463,week_28,62
Artist_124,Song_990,week_30,25
Artist_106,Song_1132,week_52,98
Artist_158,Song_122,week_36,12
Artist_147,Song_17,week_02,22
Artist_145,Song_1220,week_36,9
Artist_120,Song_327,week_08,84
Artist_319,Song_318,week_45,29
Artist_275,Song_809,week_42,44
Artist_92,Song_1503,week_50,93
Artist_58,Song_1276,week_09,27
Artist_439,Song_503,week_01,55
Artist_346,Song_119,week_13,81
Artist_229,Song_1698,week_50,5
Artist_474,Song_710,week_15,52
Artist_117,Song_1522,week_32,13
Artist_318,Song_1510,week_34,42
Artist_279,Song_45,week_43,15
Artist_127,Song_314,week_31,79
Artist_393,Song_1203,week_14,18
Artist_396,Song_1918,week_47,50
Artist_129,Song_418,week_14,2
Artist_58,Song_556,week_48,87
Artist_122,Song_1807,week_29,13
Artist_1,Song_1102,week_47,68
Artist_239,Song_326,week_19,47
Artist_290,Song_1714,week_27,89
Artist_96,Song_1381,week_09,75
Artist_126,Song_1440,week_37,50
Artist_118,Song_1987,week_37,12
Artist_48,Song_515,week_43,13
Artist_89,Song_214,week_28,9
Artist_488,Song_1878,week_52,59
Artist_237,Song_74,week_24,45
Artist_373,Song_1587,week_28,70
Artist_385,Song_1603,week_36,43
Artist_272,Song_509,week_52,74
Artist_189,Song_332,week_18,23
Artist_487,Song_1117,week_25,79
Artist_192,Song_688,week_35, 45 
Artist_447,Song_657,week_04,23
Artist_69,Song_1543,week_14,34
Artist_278,Song_1293,week_39,16
Artist_349,Song_1400,week_26,63
Artist_247,Song_1858,week_08,51
Artist_451,Song_1028,week_24,32
Artist_76,Song_1162,week_16,38
Artist_154,Song_1255,week_20,56
Artist_144,Song_600,week_15,69
Artist_435,Song_1553,week_07,17
Artist_485,Song_1076,week_17,86
Artist_86,Song_1670,week_22,39
Artist_185,Song_1747,week_22,41
Artist_285,Song_325,week_12,48
Artist_462,Song_992,week_18,82
Artist_220,Song_1994,week_46,28
Artist_69,Song_1929,week_47,77
Artist_47,Song_1755,week_15,50
Artist_497,Song_717,week_37,1
Artist_94,Song_723,week_16,50
Artist_238,Song_277,week_05,19
Artist_446,Song_536,week_02,98
Artist_500,Song_1510,week_52,59
Artist_453,Song_1540,week_28,68
Artist_204,Song_152,week_41,67
Artist_400,Song_955,week_27,41
Artist_218,Song_1507,week_31,10
Artist_474,Song_259,week_41,28
Artist_432,Song_324,week_36,34
Artist_341,Song_1017,week_47,39
Artist_39,Song_869,week_43,83
Artist_100,Song_1192,week_01,56
Artist_289,Song_688,week_50,52
Artist_254,Song_310,week_29,100
Artist_222,Song_803,week_01,3
Artist_357,Song_1503,week_08,23
Artist_23,Song_1080,week_16,17
Artist_250,Song_620,week_28,71
Artist_10,Song_473,week_22,26
Artist_246,Song_1320,week_18,18
Artist_325,Song_461,week_22,46
Artist_100,Song_1348,week_41,70
Artist_290,Song_814,week_12,31
Artist_180,Song_846,week_19,93
Artist_223,Song_1165,week_25,9
Artist_394,Song_667,week_50,35
Artist_250,Song_262,week_05,81
Artist_147,Song_1809,week_34,60
Artist_442,Song_1444,week_39,76
Artist_96,Song_1768,week_10,63
Artist_257,Song_1265,week_47,100
Artist_325,Song_355,week_07,52
Artist_493,Song_1873,week_37,48
Artist_4,Song_770,week_47,61
Artist_16,Song_1785,week_52,24
Artist_280,Song_1613,week_52,74
Artist_336,Song_180,week_15,58
Artist_247,Song_66,week_42,64
Artist_258,Song_820,week_24,30
Artist_497,Song_1372,week_26,29
Artist_476,Song_171,week_26,10
Artist_384,Song_474,week_46,39
Artist_160,Song_534,week_26,55
Artist_475,Song_1391,week_10,28
Artist_340,Song_1131,week_17,18
Artist_152,Song_439,week_14,41
Artist_396,Song_835,week_02,81
Artist_178,Song_227,week_48,75
Artist_163,Song_1468,week_13,65
Artist_380,Song_442,week_27,81
Artist_33,Song_396,week_09,100
Artist_417,Song_728,week_07,100
Artist_445,Song_1605,week_48,46
Artist_179,Song_84,week_10,60
Artist_427,Song_1639,week_09,9
Artist_101,Song_1575,week_22,45
Artist_268,Song_1037,week_23,60
Artist_323,Song_1833,week_07,28
Artist_65,Song_1849,week_48,97
Artist_417,Song_693,week_09,3
Artist_168,Song_493,week_27,51
Artist_330,Song_1292,week_24,8
Artist_43,Song_1549,week_29,70
Artist_44,Song_1144,week_17,59
Artist_285,Song_970,week_20,61
Artist_397,Song_353,week_07,58
Artist_12,Song_1081,week_43,70
Artist_95,Song_40,week_40,93
Artist_302,Song_1910,week_07,12
Artist_386,Song_1360,week_28,9
Artist_253,Song_640,week_19,49
Artist_499,Song_173,week_20,83
Artist_242,Song_1571,week_44,17
Artist_35,Song_259,week_39,54
Artist_215,Song_1912,week_40,44
Artist_337,Song_517,week_07,32
Artist_90,Song_730,week_06,35
Artist_264,Song_523,week_25,78
Artist_93,Song_1918,week_41,49
Artist_410,Song_839,week_13,54
Artist_458,Song_117,week_39,16
Artist_90,Song_184,week_40,85
Artist_418,Song_1930,week_22,12
Artist_115,Song_1898,week_49,88
Artist_105,Song_1140,week_17,98
Artist_391,Song_162,week_48,8
Artist_196,Song_1603,week_22,21
Artist_314,Song_1736,week_34,48
Artist_114,Song_543,week_08,8
Artist_493,Song_1611,week_49,28
Artist_75,Song_1261,week_45,80
Artist_413,Song_839,week_18,10
Artist_376,Song_1090,week_24,52
Artist_420,Song_1094,week_42,15
Artist_217,Song_1833,week_02,4
Artist_277,Song_447,week_02,90
Artist_249,Song_416,week_27,79
Artist_164,Song_532,week_14,100
Artist_394,Song_441,week_48,96
Artist_357,Song_738,week_39,62
Artist_457,Song_1970,week_12,4
Artist_408,Song_464,week_32,41
Artist_192,Song_1945,week_28,73
Artist_227,Song_396,week_28,99
Artist_177,Song_711,week_46,55
Artist_99,Song_1575,week_25,28
Artist_496,Song_1681,week_04,47
Artist_36,Song_1581,week_26,9
Artist_466,Song_395,week_36,2
Artist_497,Song_326,week_50,67
Artist_487,Song_1917,week_03,48
Artist_96,Song_1943,week_01,69
Artist_152,Song_1115,week_17,74
Artist_151,Song_750,week_07,28
Artist_190,Song_1094,week_48,79
Artist_224,Song_1190,week_05,14
Artist_37,Song_642,week_19,46
Artist_268,Song_214,week_39,87
Artist_369,Song_1876,week_46,13
Artist_183,Song_1625,week_34,16
Artist_13,Song_1359,week_35,94
Artist_279,Song_1788,week_49,40
Artist_217,Song_369,week_16,72
Artist_355,Song_1885,week_40,81
Artist_361,Song_1608,week_50,30
Artist_286,Song_1701,week_47,81
Artist_273,Song_49,week_39,99
Artist_369,Song_1076,week_27,65
Artist_62,Song_1313,week_41, 58 
Artist_84,Song_1814,week_38, 88 
Artist_368,Song_1650,week_50,48
Artist_217,Song_1263,week_50,49
Artist_342,Song_133,week_25,89
Artist_397,Song_999,week_26,2
Artist_187,Song_786,week_14,89
Artist_19,Song_1190,week_14,14
Artist_177,Song_1398,week_14,97
Artist_100,Song_373,week_25,17
Artist_396,Song_1829,week_36,31
Artist_445,Song_1502,week_04,10
Artist_233,Song_1779,week_47,70
Artist_403,Song_479,week_15,89
Artist_76,Song_832,week_32,37
Artist_265,Song_650,week_18,64
Artist_455,Song_1615,week_14,30
Artist_284,Song_682,week_01,34
Artist_206,Song_1659,week_42,18
Artist_223,Song_688,week_20,88
Artist_384,Song_1324,week_10,63
Artist_52,Song_82,week_10,
Artist_339,Song_87,week_24,56
Artist_367,Song_225,week_34,91
Artist_144,Song_16,week_28,58
